QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
29.6500,29.5500,HB9HD,Fronalpstock/SZ,JN46HX,1904m,NFM RX>HochYbrig,1,"46.9682706","8.6373811"
29.6800,29.5800,HB9EE,Eglisau,JN47GN,554m,project 2020,0,"47.5733207","8.5239827"
51.8500,51.2500,HB9F,Schilthorn,JN36WN,2970m,FM T186.2,1,"46.5573271","7.8352093"
51.8900,51.2900,HB9EE,Eglisau,JN47GN,554m,project 2020,0,"47.5733207","8.5239827"
51.9300,51.3300,HB9AM,Nütziweid,JN47BG,701m,FM (qrv 2nd 2019),0,"47.2635972","8.0900529"
51.9700,51.3700,HB9NF,Warten,JN47LH,1201m,C4FM* FM T71.9,1,47.3125000,8.9583333
144.5750,432.6750,HB9ID,Hesebool,JN47LN,668m,FM T71.9 2m>70cm,1,47.5625000,8.9583333
144.8250,144.8250,HB9AC,Pfeffingen,JN37TL,390m,EL#235967,1,47.4791667,7.6250000
144.8250,144.8250,HB9AW,Willisau,JN37XC,605m,D-STAR*,1,"47.1215184","7.99659"
144.8250,144.8250,HB9VSD,Verbier,JN36OC,1513m,D-STAR* CCS#84683,2,"46.0967949","7.2285478"
144.8250,144.8250,HB9Z,Forch,JN47HH,638m,C4FM #31931,2,"47.3255509","8.6468061"
144.8250,144.8250,HB9MH,Pregassona,JN46LA,404m,C4FM-Gateway,1,"46.01905","8.9744329"
144.8625,144.8625,HB9OK,Poschiavo,JN56AH,1015m,C4FM/D-STAR/DMR (09/2019),0,"46.3264671","10.0581552"
144.8625,144.8625,HB9UCQ,Tête-de-Ran,JN37KB,1353m,MM D-STAR/DMR/C4FM,1,"47.0542846","6.8537003"
144.8875,144.8875,HB9T,Château-d'Oex,JN47MN,980m,C4FM #31157 (ID HB9HFV),1,47.5625000,9.0416667
144.9250,144.9250,HB9UCQ,La Berra,JN36OQ,1632m,MM D-STAR/DMR/C4FM (2020),0,"46.6760352","7.1839627"
145.2250,145.2250,HB9LC,Le Maillard,JN37JC,1241m,FM 1750 Echo 30s,1,47.1041667,6.7916667
145.2375,145.2375,HB9UCQ,Le Pâquier-M.,JN36MO,734m,D-STAR HB9UCQ_C,1,"46.5950644","7.0527454"
145.2875,145.2875,HB9BS,Gempenfluh,JN37TL,759m,NFM T71.9,1,47.4791667,7.6250000
145.2875,145.2875,HB9BC,Wolfwil,JN37WQ,426m,EL#929173 NFM T71.9,1,47.6875000,7.8750000
