Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Africa,Windhoek,Namibia,V53W   C,V53W   G,145.700000,DUP-,0.600000,DV,,,YES,Approximate,-22.650000,17.180000,+1:00
1,Africa,Pretoria,South Af,ZS0JPL B,ZS0JPL G,438.262500,DUP-,7.600000,DV,,,YES,Approximate,-25.730000,28.270000,+2:00
1,Africa,Pretoria,South Af,ZS6MRK B,ZS6MRK G,438.275000,DUP-,7.600000,DV,,,YES,Approximate,-25.680000,27.990000,+2:00
1,Africa,Pretoria,South Af,ZS6VTS B,ZS6VTS G,438.250000,DUP-,7.600000,DV,,,YES,Approximate,-25.750000,28.290000,+2:00
1,Africa,Sandton,South Af,ZS6STN C,ZS6STN G,145.587500,DUP-,0.600000,DV,,,YES,Approximate,-26.100000,28.060000,+2:00
1,Africa,Busan,Korea- R,DS0TQ  B,DS0TQ  G,439.200000,DUP-,5.000000,DV,,,YES,Approximate,35.170000,129.100000,+9:00
1,Africa,Ulsan,Korea- R,6M0UM  B,6M0UM  G,439.500000,DUP-,5.000000,DV,,,YES,Approximate,35.660000,129.340000,+9:00
2,Asia,Dalian,China,BG2YF  B,BG2YF  G,438.900000,DUP-,7.600000,DV,,,YES,Approximate,38.560000,121.380000,+8:00
2,Asia,Shenyang,China,BR2RSY B,BR2RSY G,439.625000,DUP-,7.000000,DV,,,YES,Approximate,41.940000,123.440000,+8:00
2,Asia,Shenyang,China,BR2SY  B,BR2SY  G,439.700000,DUP-,5.000000,DV,,,YES,Approximate,41.790000,123.360000,+8:00
2,Asia,Shenyang- Liaoni,China,BR2RSA B,BR2RSA G,439.725000,DUP-,5.000000,DV,,,YES,Approximate,41.790000,123.360000,+4:30
2,Asia,Troodos Mt.,Cyprus,5B4CY  C,5B4CY  G,145.637500,DUP-,0.600000,DV,,,YES,Approximate,34.940000,32.860000,+2:00
2,Asia,Taoyuan,Taiwan,BX3AH  C,BX3AH  G,144.337500,DUP+,2.000000,DV,,,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Taoyuan,Taiwan,BX3AH  B,BX3AH  G,433.337500,DUP+,6.000000,DV,,,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Taoyuan,Taiwan,BX4ACB C,BX4ACB G,144.337500,DUP+,2.000000,DV,,,YES,Approximate,24.990000,121.310000,+8:00
2,Asia,Bangkok,Thailand,E24DA  B,E24DA  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,13.790000,100.560000,+7:00
2,Asia,Bangkok,Thailand,E24DA  C,E24DA  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,13.790000,100.560000,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  C,E24DG  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,18.830000,99.010000,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  B,E24DG  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,18.830000,99.010000,+7:00
2,Asia,Chonburi,Thailand,E24DC  C,E24DC  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,13.200000,100.950000,+7:00
2,Asia,Chonburi,Thailand,E24DC  B,E24DC  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,13.200000,100.950000,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  C,E24DE  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,16.170000,103.330000,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  B,E24DE  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,16.170000,103.330000,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  C,E24DB  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,14.040000,100.610000,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  B,E24DB  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,14.040000,100.610000,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  C,E24DF  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,16.890000,100.710000,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  B,E24DF  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,16.890000,100.710000,+7:00
2,Asia,Phuket,Thailand,E24DJ  C,E24DJ  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,7.880000,98.370000,+7:00
2,Asia,Phuket,Thailand,E24DJ  B,E24DJ  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,7.880000,98.370000,+7:00
2,Asia,Ranong,Thailand,E24DH  C,E24DH  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,10.040000,98.680000,+7:00
2,Asia,Ranong,Thailand,E24DH  B,E24DH  G,438.012500,DUP-,5.000000,DV,,,YES,Approximate,10.040000,98.680000,+7:00
2,Asia,Songkhla,Thailand,E24DI  C,E24DI  G,145.612500,DUP-,0.600000,DV,,,YES,Approximate,7.010000,100.510000,+7:00
